Category,Name,Balance,Title,Info,Slug,Price,Status,Premium,PDF
Citi Bank,Citi bank,43900,CHECKING ACCOUNTS,Online access)+(Account/Routine Number)+(Name And Address)+(Email access),citi-bank-37,301,TRUE,FALSE,static/last.pdf
Citi Bank,Citi bank,12800,SAVINGS AND CHECKING,Online access)+(Account/Routine Number)+(Name And Address)+(Email access),citi-bank-38,84,FALSE,FALSE,static/last.pdf
Chase Bank,Chase bank,24700,SAVINGS AND CHECKING,Online access)+(Account/Routine Number)+(Name And Address)+(Email access),chase-bank-39,168,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,27898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y1,189,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,28898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y2,196,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,29898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y3,203,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,30898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y4,210,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,31898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y5,217,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,32898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y6,224,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,33898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y7,231,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,34898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y8,238,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,35898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y9,245,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,36898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y10,252,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,37898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y11,259,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,38898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y12,266,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,39898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y13,273,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,40898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y14,280,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,41898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y15,287,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,42898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y16,294,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,43898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y17,301,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,44898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y18,308,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,45898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y19,315,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,46898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y20,322,FALSE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,47898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y21,329,FALSE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,48898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y22,336,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,49898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y23,343,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,50898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y24,350,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,51898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y25,357,FALSE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,52898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y26,364,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,53898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y27,371,FALSE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,54898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y28,378,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,55898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y29,385,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,56898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y30,392,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,57898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y31,399,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,58898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y32,406,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,59898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y33,413,FALSE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,60898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y34,420,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,61898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y35,427,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,62898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y36,434,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,63898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y37,441,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,64898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y38,448,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,65898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y39,455,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,66898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y40,462,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,67898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y41,469,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,68898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y42,476,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,69898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y43,483,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,70898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y44,490,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,71898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y45,497,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,72898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y46,504,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,73898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y47,511,FALSE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,74898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y48,518,FALSE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,75898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y49,525,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,76898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y50,532,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,77898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y51,539,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,78898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y52,546,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,79898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y53,553,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,80898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y54,560,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,81898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y55,567,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,82898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y56,574,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,83898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y57,581,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,84898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y58,588,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,85898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y59,595,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,86898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y60,602,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,87898,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y61,609,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,39344,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y191,273,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,40344,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y192,280,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,41344,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y193,287,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,42344,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y194,294,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,43344,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y195,301,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,44344,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y196,308,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,45344,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y197,315,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,46344,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y198,322,TRUE,FALSE,static/last.pdf
Wells Fargo,Wells Fargo,47344,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),Y199,329,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,42061.33,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s1,294,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,61488.08,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s2,427,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,51683.36,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s3,357,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,107674.33,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s4,2000,FALSE,FALSE,static/last.pdf
Citi Bank,Citi Bank,64711.09,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s5,448,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,36879.9,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s6,252,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,86681.66,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s7,602,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,41652.33,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s8,287,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,66416.67,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s9,462,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,73582.43,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s10,511,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,110931.59,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s11,2000,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,53922.23,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s12,371,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,47198.22,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s13,329,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,55600.93,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s14,385,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,71069.77,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s15,497,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,106287.56,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s16,2000,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,79069.59,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s17,553,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,58915.17,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s18,406,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,82171.08,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s19,574,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,105455.24,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s20,2000,FALSE,FALSE,static/last.pdf
Citi Bank,Citi Bank,85325.97,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s21,595,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,112154.53,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s22,2000,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,44325.13,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s23,308,FALSE,FALSE,static/last.pdf
Citi Bank,Citi Bank,54133.85,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s24,378,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,105737.85,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s25,2000,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,91975.36,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s26,637,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,104495.43,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s27,2000,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,77385.14,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s28,539,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,66609.3,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s29,462,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,93685.82,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s30,651,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,61053.37,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s31,427,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,85088.66,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s32,595,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,90441.23,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s33,630,FALSE,FALSE,static/last.pdf
Citi Bank,Citi Bank,79307.23,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s34,553,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,37058.06,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s35,259,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,32434.41,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s36,224,TRUE,FALSE,static/last.pdf
Citi Bank,Citi Bank,70999.75,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s37,490,FALSE,FALSE,static/last.pdf
Citi Bank,Citi Bank,45913.19,CHECKING ACCOUNT,(Online access)+(Account/Routine Number)+(Name And Address)+(Email access)+(Personal Questions),s38,315,TRUE,FALSE,static/last.pdf
